index	num_heavy_atoms	num_bonds	depiction	look	time	size
41	25	27	SPACEFILLING	GLOSSY	249.32193756103516	27.539
41	25	27	TUBE	CARTOON	614.7961616516113	27.37
41	25	27	WIREFRAME	GLOSSY	0.5619525909423828	7.962
41	25	27	BALL_AND_STICK	GLOSSY	351.4530658721924	74.086
42	19	21	SPACEFILLING	CARTOON	201.37476921081543	20.802
42	19	21	BALL_AND_STICK	CARTOON	255.4948329925537	47.339
42	19	21	WIREFRAME	CARTOON	0.39005279541015625	5.691
42	19	21	SPACEFILLING	GLOSSY	198.25410842895508	25.529
41	25	27	TUBE	GLOSSY	622.0390796661377	37.578
42	19	21	TUBE	CARTOON	423.4271049499512	23.918
42	19	21	WIREFRAME	GLOSSY	0.39196014404296875	5.691
42	19	21	BALL_AND_STICK	GLOSSY	253.97706031799316	59.749
42	19	21	TUBE	GLOSSY	484.04407501220703	31.045
43	28	31	SPACEFILLING	CARTOON	366.36805534362793	27.2
43	28	31	WIREFRAME	CARTOON	0.5891323089599609	8.489
43	28	31	BALL_AND_STICK	CARTOON	443.50314140319824	66.762
43	28	31	SPACEFILLING	GLOSSY	298.92992973327637	34.067
43	28	31	BALL_AND_STICK	GLOSSY	378.19504737854004	85.024
43	28	31	WIREFRAME	GLOSSY	0.5891323089599609	8.489
43	28	31	TUBE	CARTOON	661.9656085968018	33.334
44	22	25	SPACEFILLING	CARTOON	232.13791847229004	21.286
44	22	25	BALL_AND_STICK	CARTOON	292.57917404174805	50.84
44	22	25	WIREFRAME	CARTOON	0.4508495330810547	6.549
43	28	31	TUBE	GLOSSY	653.7139415740967	43.78
44	22	25	SPACEFILLING	GLOSSY	233.71315002441406	26.677
44	22	25	BALL_AND_STICK	GLOSSY	291.45193099975586	64.374
44	22	25	WIREFRAME	GLOSSY	0.4489421844482422	6.549
44	22	25	TUBE	CARTOON	504.885196685791	24.364
45	23	26	SPACEFILLING	CARTOON	242.12908744812012	22.123
45	23	26	BALL_AND_STICK	CARTOON	307.93213844299316	53.404
45	23	26	WIREFRAME	CARTOON	0.47206878662109375	6.936
44	22	25	TUBE	GLOSSY	508.27503204345703	32.254
45	23	26	SPACEFILLING	GLOSSY	241.1329746246338	27.758
45	23	26	BALL_AND_STICK	GLOSSY	308.7432384490967	69.143
45	23	26	WIREFRAME	GLOSSY	0.4763603210449219	6.936
45	23	26	TUBE	CARTOON	535.2809429168701	26.344
46	23	26	SPACEFILLING	CARTOON	243.574857711792	22.295
46	23	26	BALL_AND_STICK	CARTOON	305.8161735534668	53.267
46	23	26	WIREFRAME	CARTOON	0.48804283142089844	6.937
45	23	26	TUBE	GLOSSY	536.736011505127	35.348
46	23	26	SPACEFILLING	GLOSSY	244.15993690490723	27.932
46	23	26	BALL_AND_STICK	GLOSSY	305.19986152648926	68.22
46	23	26	WIREFRAME	GLOSSY	0.4680156707763672	6.937
46	23	26	TUBE	CARTOON	543.3840751647949	25.682
47	30	32	SPACEFILLING	CARTOON	309.02600288391113	28.739
46	23	26	TUBE	GLOSSY	536.5509986877441	34.286
47	30	32	WIREFRAME	CARTOON	0.6928443908691406	10.43
47	30	32	BALL_AND_STICK	CARTOON	446.3989734649658	79.385
47	30	32	SPACEFILLING	GLOSSY	307.758092880249	36.098
47	30	32	BALL_AND_STICK	GLOSSY	449.0230083465576	102.43
47	30	32	WIREFRAME	GLOSSY	0.698089599609375	10.43
47	30	32	TUBE	CARTOON	807.2729110717773	38.385
48	24	26	SPACEFILLING	CARTOON	249.129056930542	25.047
48	24	26	BALL_AND_STICK	CARTOON	331.4480781555176	60.473
48	24	26	WIREFRAME	CARTOON	0.5240440368652344	7.596
47	30	32	TUBE	GLOSSY	812.3712539672852	52.174
48	24	26	SPACEFILLING	GLOSSY	248.46601486206055	30.978
48	24	26	TUBE	CARTOON	578.387975692749	29.259
48	24	26	WIREFRAME	GLOSSY	0.5257129669189453	7.596
48	24	26	BALL_AND_STICK	GLOSSY	330.92379570007324	76.88
49	23	22	SPACEFILLING	CARTOON	232.09214210510254	21.938
49	23	22	BALL_AND_STICK	CARTOON	306.9899082183838	52.026
49	23	22	WIREFRAME	CARTOON	0.43082237243652344	6.31
48	24	26	TUBE	GLOSSY	573.6150741577148	39.028
49	23	22	SPACEFILLING	GLOSSY	229.67004776000977	27.545
49	23	22	TUBE	CARTOON	486.53292655944824	23.121
49	23	22	WIREFRAME	GLOSSY	0.4990100860595703	6.31
49	23	22	BALL_AND_STICK	GLOSSY	310.7028007507324	67.442
50	27	29	SPACEFILLING	CARTOON	273.87070655822754	24.936
49	23	22	TUBE	GLOSSY	482.00011253356934	31.313
50	27	29	WIREFRAME	CARTOON	0.5230903625488281	7.245
50	27	29	BALL_AND_STICK	CARTOON	349.4551181793213	57.81
50	27	29	SPACEFILLING	GLOSSY	276.8101692199707	31.501
50	27	29	BALL_AND_STICK	GLOSSY	351.0761260986328	74.46
50	27	29	WIREFRAME	GLOSSY	0.5230903625488281	7.245
50	27	29	TUBE	CARTOON	564.857006072998	25.855
51	24	27	SPACEFILLING	CARTOON	244.6131706237793	22.745
51	24	27	BALL_AND_STICK	CARTOON	335.162878036499	55.555
51	24	27	WIREFRAME	CARTOON	0.6909370422363281	6.938
50	27	29	TUBE	GLOSSY	568.2759284973145	35.283
51	24	27	SPACEFILLING	GLOSSY	247.18618392944336	28.628
51	24	27	BALL_AND_STICK	GLOSSY	320.3611373901367	71.185
51	24	27	WIREFRAME	GLOSSY	0.4889965057373047	6.938
51	24	27	TUBE	CARTOON	550.1372814178467	25.783
52	28	32	SPACEFILLING	CARTOON	295.8691120147705	26.76
52	28	32	BALL_AND_STICK	CARTOON	375.11610984802246	66.243
52	28	32	WIREFRAME	CARTOON	0.5927085876464844	8.49
51	24	27	TUBE	GLOSSY	538.6919975280762	34.077
52	28	32	SPACEFILLING	GLOSSY	296.8111038208008	33.627
